Year,Month,NounChunk,Count
1991,1,old_gas,22
1991,1,pipeline_company,20
1991,1,gas_producer,19
1991,1,new_gas_production,10
1991,1,supreme_court,9
1991,1,federal_regulation,8
1991,1,interstate_commerce,7
1991,1,high_court,7
1991,1,price_control,7
1991,1,high_energy_bill,7
1991,1,call_old_gas,7
1991,1,maximum_permissible_price,6
1991,1,high_price,6
1991,1,1986_ferc_regulation,6
1991,1,ceiling_figure,6
1991,1,depressed_market,6
1991,1,1978_federal_law,6
1991,1,little_gas,6
1991,1,new_england,5
1991,1,price_ceiling,5
1991,1,broad_power,5
1991,1,new_york,5
1991,1,new_regulation,5
1991,1,oil_price,5
1991,1,government_regulator,4
1991,1,major_saving,4
1991,1,government_power,4
1991,1,environmental_protection_agency,4
1991,1,environmental_regulation,4
1991,1,rep_evans,3
1991,1,gas_price,3
1991,1,common_source,3
1991,1,tuesday_decision,3
1991,1,letter_contract,3
1991,1,ferc_1986_regulation,3
1991,1,commission_decision,3
1991,1,pay_provision,3
1991,1,gas_contract,3
1991,1,specified_volume,3
1991,1,economic_development,3
1991,1,8_0_decision,3
1991,1,specified_price,3
1991,1,great_deal,3
1991,1,gas_distribution_system,3
1991,1,task_force,3
1991,1,energy_industry_expert,3
1991,1,fail_s&amp;l,3
1991,1,public_service_commission,3
1991,1,power_plant,3
1991,1,oklahoma_corporation_commission,3
1991,1,state_legislature,3
1991,1,supply_center,3
1991,1,old_gas_pricing,3
1991,1,single_agency,3
1991,1,junk_bond,2
1991,1,s&amp;l_report,2
1991,1,million_dollar,2
1991,1,nuclear_power,2
1991,1,10_year,2
1991,1,middle_east,2
1991,1,resolution_trust_corp,2
1991,1,market_value,2
1991,1,past_year,2
1991,1,saving_loan_regulator,2
1991,1,congressional_report,2
1991,1,national_petroleum_council,2
1991,1,end_user,2
1991,1,prior_authorization,2
1991,1,regulatory_agency,2
1991,1,"1,800_loan",2
1991,1,general_accounting_office,2
1991,1,mr_bush,2
1991,1,pollution_control,2
1991,1,state_agency,2
1991,1,slipshod_management,2
1991,1,fail_freedom_s&amp;l,2
1991,1,junk_bond_holding,2
1991,1,malibu_saving_bank,2
1991,1,11_credit_union,2
1991,1,financial_system,2
1991,1,procurement_system,2
1991,1,stock_commodity_exchange,2
1991,1,security_exchange_commission,2
1991,1,single_day,2
1991,1,regulatory_affair,2
1991,1,federal_government,2
1991,1,yesterday_decision,2
1991,1,natural_gas_case,2
1991,1,good_news,2
1991,1,crude_oil_price,2
1991,1,persian_gulf,2
1991,1,market_regulation,2
1991,1,richard_g._ketchum,2
1991,1,short_term,2
1991,1,government_control,2
1991,1,government_regulation,2
1991,1,clean_air_act,2
1991,1,stock_market,2
1991,1,appeal_court_ruling,2
1991,1,united_states,2
1991,1,price_regulation,2
1991,1,oil_company,2
1991,1,crude_oil,2
1991,1,new_rule,2
1991,1,industry_official,2
1991,1,independent_regulatory_agency,2
1991,1,alternative_fuel,2
1991,1,gasoline_station,2
1991,1,new_one,2
1991,1,british_airways,2
1991,1,big_carrier,2
1991,1,natural_gas_vehicle,2
1991,1,high_fare,2
1991,1,senate_ethics_committee,2
1991,1,keating_hearing,2
1991,1,precisely_time,2
1991,1,final_route,2
1991,1,stock_index_future,2
1991,1,north_line,2
1991,1,domino_effect,2
1991,1,big_trader,2
1991,1,old_well,2
1991,1,state_insurance_program,2
1991,1,west_line,2
1991,1,harsh_criticism,2
1991,1,second_half,2
1991,1,iraq_invasion,2
1991,1,unmet_obligation,2
1991,1,price_structure,2
1991,1,ongoing_banking_crisis,2
1991,1,bad_crisis,2
1991,1,unusually_large_amount,2
1991,1,lengthy_war,2
1991,1,consumer_group,2
1991,1,weak_institution,2
1991,1,rhode_island_asset,2
1991,1,clearing_company,2
1991,1,use_regulation,2
1991,1,hazardous_waste,2
1991,1,mention_matter,2
1991,1,new_england_corp,2
1991,1,bank_failure,2
1991,1,gov_bruce_sundlun,2
1991,1,mention_time,2
1991,1,policy_change,2
1991,1,10_bank,2
1991,1,bank_credit,2
1991,1,subject_property,2
1991,1,investment_company,2
1991,1,hold_asset,2
1991,1,6_west,2
1991,1,extra_line,2
1991,1,cash_trader,2
1991,1,aa_district,2
1991,1,natural_gas_producer,2
1991,1,1991_legislature,1
1991,1,individual_gasoline_station,1
1991,1,water_heating,1
1991,1,alternative_fuel_vehicle,1
1991,1,conversion_incentive_bill,1
1991,1,compress_natural_gas,1
1991,1,incentive_deregulation_package,1
1991,1,utah_legislature,1
1991,1,federal_appeal_court,1
1991,1,regulate_utility,1
1991,1,legislative_session,1
1991,1,vehicle_owner,1
1991,1,sale_taxis,1
1991,1,new_motor_vehicle,1
1991,1,monday_opening,1
1991,1,today_decision,1
1991,1,legislative_package,1
1991,1,"500,000_utah_customer",1
1991,1,d_ariz,1
1991,1,public_inquiry,1
1991,1,today_session,1
1991,1,sen_donald_riegle,1
1991,1,d_mich,1
1991,1,senate_banking_committee,1
1991,1,federal_s&amp;l_regulator,1
1991,1,light_rain,1
1991,1,freeze_drizzle,1
1991,1,james_grogan,1
1991,1,1987_meeting,1
1991,1,thrift_regulator,1
1991,1,keating_lobbyist,1
1991,1,today_ruling,1
1991,1,standard_vehicle,1
1991,1,regulatory_framework,1
1991,1,increase_use,1
1991,1,wholesale_price,1
1991,1,natural_gas_utility,1
1991,1,individual_fuel_station,1
1991,1,mountain_fuel_supply,1
1991,1,recycling_exemption,1
1991,1,oil_gas_price,1
1991,1,mountain_fuel,1
1991,1,military_prowess,1
1991,1,reclaim_metal,1
1991,1,following_month,1
1991,1,large_price,1
1991,1,wartime_market,1
1991,1,trading_price_swing,1
1991,1,relaxed_face,1
1991,1,self_fulfil_prophesy,1
1991,1,energy_material_recovery,1
1991,1,possible_criticism,1
1991,1,large_profit,1
1991,1,yesterday_orderly_market,1
1991,1,industrial_boiler,1
1991,1,natural_gas_industry,1
1991,1,half_hour,1
1991,1,investment_strategy,1
1991,1,federal_commodity_regulator,1
1991,1,emergency_rule,1
1991,1,focal_point,1
1991,1,world_oil_price,1
1991,1,temporary_halt,1
1991,1,wide_price_swing,1
1991,1,chicago_commodity_exchange,1
1991,1,financial_market_jitter,1
1991,1,crisis_situation,1
1991,1,halt_trading,1
1991,1,future_market,1
1991,1,wild_swing,1
1991,1,organic_metal,1
1991,1,slow_fill_attachment,1
1991,1,financial_institution,1
1991,1,critical_element,1
1991,1,newly_cover_operation,1
1991,1,available_capital,1
1991,1,business_condition,1
1991,1,tough_regulatory_scrutiny,1
1991,1,loan_standard,1
1991,1,federal_state_control,1
1991,1,oil_crisis,1
1991,1,30_state_government,1
1991,1,statutory_ability,1
1991,1,hydrochloric_acid,1
1991,1,windfall_profit_tax,1
1991,1,andrew_j._hall,1
1991,1,phibro_energy_inc,1
